Venue,Capacity,Basketballteam(s),Location,Country,Image,LatLong
Philippine Arena,55000,Philippine Basketball Association Teams,Bocaue,Philippines,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Philippine_Arena_-_front_view_%28Bocaue%2C_Bulacan%29%282019-05-05%29.jpg/150px-Philippine_Arena_-_front_view_%28Bocaue%2C_Bulacan%29%282019-05-05%29.jpg,"[9.24824, 123.59228]"
JMA Wireless Dome,33000,"Syracuse Orange men's basketball, Syracuse Orange women's basketball",Syracuse,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Carrier_Dome_-_New_Roof_2021_%28Jimhoward03%29.jpg/150px-Carrier_Dome_-_New_Roof_2021_%28Jimhoward03%29.jpg,"[32.75602, -114.36003]"
KFC Yum! Center,22090,"Louisville Cardinals men's basketball, Louisville Cardinals women's basketball",Louisville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/The-Yum-Center.jpg/150px-The-Yum-Center.jpg,"[38.89037, -77.03196]"
Greensboro Coliseum Complex,22000,UNC Greensboro Spartans men's basketball,Greensboro,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/NCAA_Tournament_%283369506340%29.jpg/150px-NCAA_Tournament_%283369506340%29.jpg,"[36.0567, -79.82502]"
Dean Smith Center,21750,North Carolina Tar Heels,Chapel Hill,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Dean_E._Smith_Center_%28Florida_State_vs._North_Carolina_-_February_23%2C_2019%29.jpg/150px-Dean_E._Smith_Center_%28Florida_State_vs._North_Carolina_-_February_23%2C_2019%29.jpg,"[39.77609, -98.78575]"
Thompson–Boling Arena,21678,"Tennessee Volunteers basketball, Tennessee Lady Volunteers basketball",Knoxville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Thompson-Boling-Arena.jpg/150px-Thompson-Boling-Arena.jpg,"[36.95259, -86.45002]"
Wells Fargo Center,21000,Philadelphia 76ers and some Villanova Wildcats men's basketball and Temple Owls men's basketball games,Philadelphia,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/76ers_WFC_2016.jpg/150px-76ers_WFC_2016.jpg,"[39.90525, -75.17354]"
United Center,20917,Chicago Bulls,Chicago,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/United_Center_pano.jpg/150px-United_Center_pano.jpg,"[41.88126, -87.67433]"
Rupp Arena,20545,"Kentucky Wildcats men's basketball, Kentucky boys' high school tournament",Lexington,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Rupp_Arena_-_UCLA_v._UK_on_12-03-16.jpg/150px-Rupp_Arena_-_UCLA_v._UK_on_12-03-16.jpg,"[43.16162, -89.91256]"
Scotiabank Arena,20511,Toronto Raptors,Toronto,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Scotiabank_Arena_Panorama.jpg/150px-Scotiabank_Arena_Panorama.jpg,"[43.64376, -79.37815]"
Moda Center,20500,Portland Trail Blazers,Portland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Rose_Garden_Arena_Interior.jpg/150px-Rose_Garden_Arena_Interior.jpg,"[45.53193, -122.66784]"
Capital One Arena,20356,"Washington Wizards, Georgetown Hoyas men's basketball","Washington, D.C.",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/2018_A-10_Final.jpg/150px-2018_A-10_Final.jpg,"[38.89734, -77.02095]"
Little Caesars Arena,20332,Detroit Pistons,"Detroit, MI",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Interior_of_little_Caesars_arena_panorama.jpg/150px-Interior_of_little_Caesars_arena_panorama.jpg,"[42.342, -83.05434]"
Mall of Asia Arena,20000,All UAAP and PBA teams,"Pasay, NCR",Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mall_of_Asia_Arena_2019.jpg/150px-Mall_of_Asia_Arena_2019.jpg,"[51.28108, 3.76107]"
Delta Center,20000,Utah Jazz,Salt Lake City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Energy_Solutions_Arena.JPG/150px-Energy_Solutions_Arena.JPG,"[42.72635, -84.66202]"
PNC Arena,20000,NC State Wolfpack men's basketball,Raleigh,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/PNC_Arena.jpg/150px-PNC_Arena.jpg,"[35.80104, -78.72613]"
Bridgestone Arena,20000,Regular host of Southeastern Conference Men's Tournament,Nashville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/2014_NCAA_women%27s_basketball_tournament_Final_Four_Nashville.jpg/150px-2014_NCAA_women%27s_basketball_tournament_Final_Four_Nashville.jpg,"[36.16016, -86.77916]"
American Airlines Center,20000,Dallas Mavericks,Dallas,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/American_Airlines_Center2242.JPG/150px-American_Airlines_Center2242.JPG,"[32.79004, -96.81085]"
Target Center,20000,"Minnesota Timberwolves, Minnesota Lynx",Minneapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/012308-TC-Twolves001.jpg/150px-012308-TC-Twolves001.jpg,"[44.97953, -93.27493]"
Crypto.com Arena,20000,"Los Angeles Clippers, Los Angeles Lakers, Los Angeles Sparks",Los Angeles,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Staples_Center_Lakers.jpg/150px-Staples_Center_Lakers.jpg,"[34.04389, -118.26602]"
Nationwide Arena,20000,"Ohio State Buckeyes men's basketball, Ohio State Buckeyes women's basketball",Columbus,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/NationwideArena.jpg/150px-NationwideArena.jpg,"[39.96841, -83.00673]"
T-Mobile Arena,20000,Pac-12 Conference Men's Tournament,Paradise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Frozen_Fury%2C_Las_Vegas_%2835162282886%29.jpg/150px-Frozen_Fury%2C_Las_Vegas_%2835162282886%29.jpg,"[36.10336, -115.17636]"
Kaseya Center,19600,Miami Heat,Miami,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Player_introductions_before_a_Miami_Heat_game.jpg/150px-Player_introductions_before_a_Miami_Heat_game.jpg,"[25.78099, -80.18627]"
TD Garden,19580,Boston Celtics,Boston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Basketball_Game_TD_Garden.jpg/150px-Basketball_Game_TD_Garden.jpg,"[42.36553, -71.0612]"
Thomas & Mack Center,19552,UNLV Runnin' Rebels basketball,Paradise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/ThomasandMackinside.jpg/150px-ThomasandMackinside.jpg,"[35.7439, -98.74797]"
Ball Arena,19520,Denver Nuggets,Denver,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Pepsi_center_interior.jpg/150px-Pepsi_center_interior.jpg,"[39.74732, -105.00794]"
Madison Square Garden,19500,"New York Knicks, New York Liberty, most St. John's Red Storm men's basketball games, Big East Men's Tournament",New York City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/MSG_Henrik_Lundqvist_Retirement_Night_003.jpg/150px-MSG_Henrik_Lundqvist_Retirement_Night_003.jpg,"[40.75003, -73.99425]"
Rocket Mortgage FieldHouse,19432,"Cleveland Cavaliers, Mid-American Conference Men's and Women's Tournaments",Cleveland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Quicken_Loans_Arena_3.jpg/150px-Quicken_Loans_Arena_3.jpg,"[41.49676, -81.68974]"
Nikos Galis Olympic Indoor Hall,19250,Panathinaikos B.C.,Athens,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/OAKA1010436.JPG/150px-OAKA1010436.JPG,"[38.10859, 23.76752]"
Oakland Arena,19200,Golden State Warriors,Oakland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Oracle_Arena_2011-12-17.jpg/150px-Oracle_Arena_2011-12-17.jpg,"[37.75078, -122.20209]"
Bud Walton Arena,19200,"Arkansas Razorbacks men's basketball, Arkansas Razorbacks women's basketball",Fayetteville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bud_Walton_Arena_2023.jpg/150px-Bud_Walton_Arena_2023.jpg,"[38.86689, -84.61185]"
Marriott Center,19000,BYU Cougars men's and women's basketball,Provo,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Marriott_Center_with_new_seating_2012.jpg/150px-Marriott_Center_with_new_seating_2012.jpg,"[41.23697, -111.98602]"
Barclays Center,19000,Brooklyn Nets,Brooklyn,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Barclays_Center_-_New_York_Islanders_03.jpg/150px-Barclays_Center_-_New_York_Islanders_03.jpg,"[40.6833, -73.97634]"
Frost Bank Center,19000,San Antonio Spurs,San Antonio,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/2014_NBA_Playoffs_Dallas_Mavericks_vs._San_Antonio_Spurs.jpg/150px-2014_NBA_Playoffs_Dallas_Mavericks_vs._San_Antonio_Spurs.jpg,"[29.43344, -98.43378]"
Toyota Center,19000,Houston Rockets,Houston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Toyota_Center_inside.jpg/150px-Toyota_Center_inside.jpg,"[29.75172, -95.36172]"
Cadillac Arena,19000,Beijing Ducks,Beijing,China,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Beijing_Wukesong_Culture_%26_Sports_Center.jpg/150px-Beijing_Wukesong_Culture_%26_Sports_Center.jpg,"[44.27653, -85.40659]"
Freedom Hall,18865,Bellarmine Knights men's and women's basketball,Louisville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/FreedomHall3.jpg/150px-FreedomHall3.jpg,"[44.49886, -69.38413]"
Kia Center,18846,Orlando Magic,Orlando,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/AmwayCenterCourt.JPG/150px-AmwayCenterCourt.JPG,"[28.5402, -81.38396]"
José Miguel Agrelot Coliseum,18500,some Santurce Crabbers games,San Juan,Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Coliseum_of_PR.JPG/150px-Coliseum_of_PR.JPG,"[38.89037, -77.03196]"
Footprint Center,18422,"Phoenix Suns, Phoenix Mercury",Phoenix,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/USAirwaysCenter-2008NCAAWestRegional.jpg/150px-USAirwaysCenter-2008NCAAWestRegional.jpg,"[33.20356, -96.71823]"
Štark Arena,18386,"Serbia national basketball team, some KK Crvena zvezda and KK Partizan Belgrade games",Belgrade,Serbia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Arena_X_Factor_Adria_%2813457480073%29.jpg/150px-Arena_X_Factor_Adria_%2813457480073%29.jpg,"[44.81525, 20.42284]"
Paycom Center,18203,Oklahoma City Thunder,Oklahoma City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/OKC_Thunder_Pregame.jpg/150px-OKC_Thunder_Pregame.jpg,"[35.46346, -97.51415]"
Qudos Bank Arena,18000,Sydney Kings,Sydney,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Sydney_Super_Dome_panorama.jpg/150px-Sydney_Super_Dome_panorama.jpg,"[31.89867, 35.19187]"
Colonial Life Arena,18000,"South Carolina Gamecocks men's basketball, South Carolina Gamecocks women's basketball",Columbia,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/University_of_South_Carolina_Colonial_Life_Arena.jpg/150px-University_of_South_Carolina_Colonial_Life_Arena.jpg,"[37.24836, -79.96764]"
Gainbridge Fieldhouse,18000,"Indiana Pacers, Indiana Fever",Indianapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Conseco_fieldhouse_seating_bowl.JPG/150px-Conseco_fieldhouse_seating_bowl.JPG,"[39.76476, -86.15635]"
Mercedes-Benz Arena,18000,Shanghai Sharks,Shanghai,China,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Expo_Culture_Center_%284633171163%29.jpg/150px-Expo_Culture_Center_%284633171163%29.jpg,"[-34.64132, -59.4292]"
Xfinity Center,17950,"Maryland Terrapins men's basketball, Maryland Terrapins women's basketball",College Park,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Maryland_Duke_basketball_Feb_2007.jpg/150px-Maryland_Duke_basketball_Feb_2007.jpg,"[40.8295, -77.79892]"
FedExForum,17794,"Memphis Grizzlies, Memphis Tigers men's basketball",Memphis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/FedExForum_2015.jpg/150px-FedExForum_2015.jpg,"[35.13886, -90.05219]"
Smoothie King Center,17791,New Orleans Pelicans,New Orleans,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/NOLA_2018_WWE_Smackdown_Live_DSC06674_%2846215219532%29.jpg/150px-NOLA_2018_WWE_Smackdown_Live_DSC06674_%2846215219532%29.jpg,"[29.94957, -90.08157]"
Golden 1 Center,17600,Sacramento Kings,Sacramento,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/G1C_Interior.jpg/150px-G1C_Interior.jpg,"[38.58106, -121.49962]"
CHI Health Center Omaha,17560,Creighton Bluejays men's basketball,Omaha,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/P1270977.JPG/150px-P1270977.JPG,"[41.26583, -95.92988]"
Heritage Bank Center,17556,Occasional NCAA and NBA games,Cincinnati,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Heritage_Bank_Center.jpg/150px-Heritage_Bank_Center.jpg,"[40.33496, -74.05838]"
Fiserv Forum,17500,"Milwaukee Bucks, Marquette Golden Eagles men's basketball",Milwaukee,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Fiserv_Forum_seating_bowl.jpg/150px-Fiserv_Forum_seating_bowl.jpg,"[43.04452, -87.91608]"
Spectrum Center,17500,Charlotte Hornets,Charlotte,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/BobcatsArena.jpg/150px-BobcatsArena.jpg,"[33.652504, -117.745111]"
Kohl Center,17230,"Wisconsin Badgers men's basketball, Wisconsin Badgers women's basketball",Madison,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Kohl_Center_hockey.jpg/150px-Kohl_Center_hockey.jpg,"[41.36064, -72.10668]"
Simon Skjodt Assembly Hall,17222,Indiana Hoosiers men's basketball,Bloomington,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Assembly_Hall_-_Bloomington%2C_IN_-_December_2015.jpg/150px-Assembly_Hall_-_Bloomington%2C_IN_-_December_2015.jpg,"[37.61546, -81.73381]"
State Farm Arena,16888,"Atlanta Hawks, Atlanta Dream",Atlanta,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Philips_Arena_basketball.jpg/150px-Philips_Arena_basketball.jpg,"[33.75648, -84.39583]"
Prudential Center,16755,"Seton Hall Pirates men's basketball, some NJIT Highlanders men's basketball games",Newark,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Prudential_Center_hockey_rink.jpg/150px-Prudential_Center_hockey_rink.jpg,"[40.73284, -74.17235]"
Arena Zagreb,16500,handball basketball hockey,Zagreb,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Medvescak_-_Arena_-_west_stand.jpg/150px-Medvescak_-_Arena_-_west_stand.jpg,"[45.77102, 15.93943]"
Indonesia Arena,16500,2023 FIBA Basketball World Cup,Jakarta,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Indonesia_Arena_3_September_2023_-_Pre_Match_BRA_vs_LAT.jpg/150px-Indonesia_Arena_3_September_2023_-_Pre_Match_BRA_vs_LAT.jpg,"[38.89037, -77.03196]"
Allen Fieldhouse,16300,"Kansas Jayhawks men's basketball, Kansas Jayhawks women's basketball",Lawrence,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Allen_Fieldhouse.jpg/150px-Allen_Fieldhouse.jpg,"[38.95352, -95.25249]"
Wells Fargo Arena,16110,Iowa Wolves,Des Moines,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Kansas_Jayhawks_Open_Practice_at_the_2016_March_Madness_Opening_Rounds_%2825217234113%29.jpg/150px-Kansas_Jayhawks_Open_Practice_at_the_2016_March_Madness_Opening_Rounds_%2825217234113%29.jpg,"[38.64274, -121.53262]"
Sinan Erdem Dome,16000,Turkey national basketball team,Istanbul,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Fenerbah%C3%A7e_vs._Galatasaray_basketball_match.jpg/150px-Fenerbah%C3%A7e_vs._Galatasaray_basketball_match.jpg,"[39.98899, 32.57917]"
Bon Secours Wellness Arena,15951,Clemson Tigers men's basketball from 2015 to 2017,Greenville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/BonSecoursArenaGRN.jpg/150px-BonSecoursArenaGRN.jpg,"[30.31832, -87.72827]"
XL Center,15564,Some Connecticut Huskies men's and women's games,Hartford,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/XL-Center-12-10-22-5.jpg/150px-XL-Center-12-10-22-5.jpg,"[37.67266, -87.92578]"
Žalgiris Arena,15552,BC Žalgiris,Kaunas,Lithuania,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/%C5%BDalgiris_Arena_interior_18_Aug_2011.jpg/150px-%C5%BDalgiris_Arena_interior_18_Aug_2011.jpg,"[55.86877, 21.38408]"
Save Mart Center,15544,Fresno State Bulldogs,Fresno,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/2009-0725-CA-SaveMartCenter.jpg/150px-2009-0725-CA-SaveMartCenter.jpg,"[31.54253, -96.83295]"
Fernando Buesa Arena,15504,Saski Baskonia,Vitoria-Gasteiz,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Panor%C3%A1mica_del_Fernando_Buesa_Arena.jpg/150px-Panor%C3%A1mica_del_Fernando_Buesa_Arena.jpg,"[28.07559, -16.67086]"
State Farm Center,15500,"Illinois Fighting Illini men's basketball, Illinois Fighting Illini women's basketball",Champaign,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/State_Farm_Center_Interior.jpg/150px-State_Farm_Center_Interior.jpg,"[37.63928, -77.83195]"
Pinnacle Bank Arena,15500,University of Nebraska Cornhuskers men's and women's basketball,Lincoln,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.33275, -80.43617]"
Dreamstyle Arena,15411,New Mexico Lobos men's and women's basketball,Albuquerque,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Pit_inside.jpg/150px-Pit_inside.jpg,"[43.16162, -89.91256]"
Carver–Hawkeye Arena,15400,"Iowa Hawkeyes men's basketball, Iowa Hawkeyes women's basketball",Iowa City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.66313, -91.55402]"
Coleman Coliseum,15383,Alabama Crimson Tide men's basketball,Tuscaloosa,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Coleman_Coliseum_2015_Panorama.jpg/150px-Coleman_Coliseum_2015_Panorama.jpg,"[31.82724, -99.42677]"
Bryce Jordan Center,15261,"Penn State Nittany Lions men's basketball, Penn State Lady Lions basketball",University Park,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.80957, -77.85387]"
MVP Arena,15229,Siena Saints men's basketball,Albany,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Times_Union_Center_2011.jpg/150px-Times_Union_Center_2011.jpg,"[43.16162, -89.91256]"
United Supermarkets Arena,15098,"Texas Tech Red Raiders basketball, Texas Tech Lady Raiders basketball",Lubbock,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/UnitedSpiritArena.jpg/150px-UnitedSpiritArena.jpg,"[38.91154, -123.69237]"
