Venue,Capacity,Basketballteam(s),Location,Country,Image,LatLong
EagleBank Arena,10000,George Mason Patriots men's and women's basketball,Fairfax,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Patriot_Center_2011.jpg/150px-Patriot_Center_2011.jpg,"[43.16162, -89.91256]"
PhilSports Arena,10000,PBA Teams,Pasig,Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.28108, 3.76107]"
Siemens Arena,10000,BC Lietuvos rytas,Vilnius,Lithuania,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[46.48084, -90.08492]"
Strahan Arena,10000,Texas State Bobcats men's and women's basketball,San Marcos,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/StrahanColiseumINTERIOR.JPG/150px-StrahanColiseumINTERIOR.JPG,"[40.94927, -95.49918]"
Gill Coliseum,9604,"Oregon State Beavers men's basketball, Oregon State Beavers women's basketball",Corvallis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.56132, -123.27967]"
Addition Financial Arena,9432,UCF Knights men's and women's basketball,Orlando,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
Cameron Indoor Stadium,9314,"Duke Blue Devils men's basketball, Duke Blue Devils women's basketball",Durham,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Cameron2018214.jpeg/150px-Cameron2018214.jpeg,"[35.2128, -79.15301]"
Vector Arena,9300,New Zealand Breakers,Auckland,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-36.84695, 174.77604]"
Eblen Center,9280,Tennessee Tech Golden Eagles men's basketball,Cookeville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Eblen_Center_2020_graduation.jpg/150px-Eblen_Center_2020_graduation.jpg,"[41.07481, -85.0139]"
Joyce Center,9149,Notre Dame Fighting Irish men's basketball,Notre Dame,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.6996, -86.23119]"
Neville Arena,9121,Auburn Tigers men's and women's basketball,Auburn,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.51052, -80.12633]"
Hinkle Fieldhouse,9100,"Butler Bulldogs men's basketball, Butler Bulldogs women's basketball",Indianapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Hinkle_panorama_inside.JPG/150px-Hinkle_panorama_inside.JPG,"[33.55733, -117.64181]"
Humphrey Coliseum,9100,Mississippi State Bulldogs men's and women's basketball,Mississippi State,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.4221, -91.70602]"
Krešimir Ćosić Hall,9000,KK Zadar,Zadar,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Dvorana_Kre%C5%A1imira_%C4%86osi%C4%87a_Zadar.jpg/150px-Dvorana_Kre%C5%A1imira_%C4%86osi%C4%87a_Zadar.jpg,"[45.80672, 15.95276]"
George Gervin GameAbove Center,8824,Eastern Michigan Eagles men's basketball,Ypsilanti,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/East_mich_convocation_pic.jpg/150px-East_mich_convocation_pic.jpg,"[47.08122, -119.85666]"
The Palestra,8725,Penn Quakers,Philadelphia,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89036, -77.03196]"
CFSB Center,8602,Murray State Racers men's and women's basketball,Murray,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.67266, -87.92578]"
Schollmaier Arena,8500,TCU Horned Frogs men's and women's basketball,Ft. Worth,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
PAOK Sports Arena,8500,PAOK BC,Thessaloniki,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Aussenansicht_der_PAOK_Sports_Arena.jpg/150px-Aussenansicht_der_PAOK_Sports_Arena.jpg,"[38.89037, -77.03196]"
Atlantic Union Bank Center,8500,James Madison Dukes men's and women's basketball,Harrisonburg,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.36287, -74.42637]"
UCCU Center,8500,Utah Valley Wolverines men's basketball,Orem,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.88126, -87.67433]"
Chartway Arena,8472,Old Dominion Monarchs men's basketball,Norfolk,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
Ano Liosia Olympic Hall,8327,AEK B.C.,Athens,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/ANO_LIOSIA_OLYMPIC_HALL.jpg/150px-ANO_LIOSIA_OLYMPIC_HALL.jpg,"[38.08151, 23.7092]"
Banterra Center,8284,Southern Illinois Salukis men's basketball,Carbondale,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.31913, -112.62577]"
Lloyd E. Scott Gymnasium,8228,Seymour Owls,Seymour,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.63709, -90.62319]"
Aleksandar Nikolić Hall,8150,"KK Crvena zvezda
KK Partizan",Belgrade,Serbia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.37038, 20.25845]"
Hokkai Kitayell,8128,Levanga Hokkaido,Sapporo,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
Moby Arena,8083,Colorado State Rams men's basketball,Fort Collins,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
John A. Baratto Athletic Center,8054,East Chicago Central Cardinals,East Chicago,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.99952, -98.76097]"
Adelaide Arena,8000,"Adelaide 36ers, Adelaide Lightning",Adelaide,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Brett_Maher_Court_023.jpg/150px-Brett_Maher_Court_023.jpg,"[-34.88739, 138.68943]"
Nouhad Nawfal Stadium,8000,Tadamon Zouk,Zouk Mikael,Lebanon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.19979, -86.28636]"
Calihan Hall,7917,Detroit Mercy Titans men's basketball,Detroit,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.03595, -104.29705]"
New Castle Fieldhouse,7829,New Castle Trojans,New Castle,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.66016, -75.56822]"
Ramsey Center,7826,Western Carolina Catamounts men's and women's basketball,Cullowhee,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.32317, -86.15315]"
Tiernan Center,7786,Richmond Red Devils,Richmond,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.0157, -123.94144]"
Bert Ogden Arena,7770,Rio Grande Valley Vipers,Edinburg,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.22257, -111.97047]"
Siegel Center,7637,VCU Rams,Richmond,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/VCU_Stuart_C._Siegel_Center_by_Jeff_Auth.jpg/150px-VCU_Stuart_C._Siegel_Center_by_Jeff_Auth.jpg,"[32.436, -92.22783]"
Muncie Fieldhouse,7635,Muncie Central Bearcats,Muncie,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.55733, -117.64181]"
Bill Green Athletic Arena,7560,Marion Giants,Marion,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.67997, -89.60227]"
Foster Pavillion,7500,Baylor Bears men's and women's basketball,Waco,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.87516, -78.02306]"
Copper Box,7500,London Lions,London,Great Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.23233, -1.47147]"
Fredrick C. Hobdy Assembly Center,7500,Grambling State Tigers men's basketball,Grambling,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.41574, -77.41203]"
Pride Roofing University Center,7500,"Southeastern Louisiana Lions basketball, Southeastern Louisiana Lady Lions basketball",Hammond,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.5147, -83.96642]"
Maples Pavilion,7392,Stanford Cardinal men's basketball,Stanford,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.25178, -81.80376]"
Show Me Center,7373,Southeast Missouri State Redhawks men's basketball,Cape Girardeau,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.81077, -68.77233]"
Savage Arena,7300,Toledo Rockets men's and women's basketball,Toledo,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Savage_Arena_2.JPG/150px-Savage_Arena_2.JPG,"[44.76482, -93.35546]"
Istora Gelora Bung Karno,7166,-,Jakarta,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-6.21731, 106.80753]"
Fertitta Center,7100,Houston Cougars men's and women's basketball,Houston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.36064, -72.10668]"
Fant–Ewing Coliseum,7085,Louisiana–Monroe Warhawks men's and women's basketball,Monroe,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.75704, -122.19388]"
Global Credit Union Arena,7000,Grand Canyon Antelopes men's and women's basketball,Phoenix,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
Allianz Dome,6943,Pallacanestro Trieste,Trieste,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.7565, 12.36936]"
Eleftheria Indoor Hall,6800,"Omonia, ETHA",Nicosia,Cyprus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.67094, 22.89428]"
Knapp Center,6424,Drake Bulldogs men's basketball,Des Moines,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Knapp_Center_fall_22.jpg/150px-Knapp_Center_fall_22.jpg,"[42.05432, -71.0527]"
Halenbeck Hall,6400,St. Cloud State men's and women's basketball,St. Cloud,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.60047, -73.66894]"
Memorial Athletic and Convocation Center,6327,Kent State Golden Flashes men's and women's basketball,Kent,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/MAC_Center_panorama_2015.jpg/150px-MAC_Center_panorama_2015.jpg,"[33.64569, -86.68383]"
Spyros Kyprianou Athletic Center,6255,-,Limassol,Cyprus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
Alex G. Spanos Center,6150,Pacific Tigers men's and women's basketball,Stockton,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.91738, -97.77887]"
Bernard Johnson Coliseum,6110,Sam Houston Bearkats men's and women's basketball,Huntsville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.63436, -72.67699]"
Arena Burgas,6100,BC Chernomorets,Burgas,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.7085, 27.77157]"
Reese Court,6000,Eastern Washington Eagles men's basketball,Cheney,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.73739, -77.70885]"
Trojan Arena,6000,Troy Trojans men's and women's basketball,Troy,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Trojan_Arena_Troy_9.jpg/150px-Trojan_Arena_Troy_9.jpg,"[43.16162, -89.91256]"
WIN Entertainment Centre,6000,Illawarra Hawks,Wollongong,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
UNF Arena,5800,North Florida Ospreys men's and women's basketball,Jacksonville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
Jack Stephens Center,5600,Little Rock Trojans men's basketball,Little Rock,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.48557, -97.85153]"
Astroballe,5556,ASVEL Basket,Villeurbanne,France,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.76635, -7.64211]"
Farris Center,5500,Central Arkansas Bears basketball,Conway,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.69796, -95.12377]"
Holon Toto Hall,5500,Hapoel Holon,Holon,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.50738, -76.76933]"
Hytche Athletic Center,5500,Maryland Eastern Shore Hawks men's and women's basketball,Princess Anne,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Hytche_Center_Interior.jpg/150px-Hytche_Center_Interior.jpg,"[37.24492, -78.45718]"
James A. Rhodes Arena,5500,Akron Zips men's and women's basketball,Akron,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.14582, -106.57952]"
Scheels Center,5460,North Dakota State Bison men's basketball,Fargo,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[46.87504, -96.77138]"
Lantz Arena,5400,Eastern Illinois Panthers men's and women's basketball,Charleston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
America First Event Center,5300,Southern Utah Thunderbirds men's and women's basketball,Cedar City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.20745, -82.37939]"
Cairns Convention Centre,5300,Cairns Taipans,Cairns,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-37.82512, 144.94994]"
McGuirk Arena,5300,Central Michigan Chippewas men's and women's basketball,Mount Pleasant,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
PalaLeonessa,5200,Basket Brescia Leonessa,Brescia,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/PalaLeonessa201812.jpg/150px-PalaLeonessa201812.jpg,"[42.57225, 12.96377]"
AIS Arena,5200,University of Canberra Capitals,Canberra,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-35.24743, 149.1005]"
Binghamton University Events Center,5142,Binghamton Bearcats,Binghamton,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.08841, -75.96723]"
Alexandreio Melathron Nick Galis Hall,5138,Aris BC,Thessaloniki,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
Christl Arena,5034,Army Black Knights men's and women's basketball,West Point,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Christl_Arena_2023_01_21.jpg/150px-Christl_Arena_2023_01_21.jpg,"[43.16162, -89.91256]"
Athletics–Recreation Center,5000,Valparaiso Beacons men's and women's basketball,Valparaiso,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Athletics-Recreation_Center_panorama.jpg/150px-Athletics-Recreation_Center_panorama.jpg,"[38.89037, -77.03196]"
Charles E. Smith Center,5000,George Washington Revolutionaries men's basketball,"Washington, D.C.",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/GW_Smith_Center.JPG/150px-GW_Smith_Center.JPG,"[39.77609, -98.78575]"
CNA Arena Akita,5000,Akita Northern Happinets,Akita,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.71863, 140.10236]"
Edmunds Center,5000,Stetson Hatters men's basketball,DeLand,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[45.41879, -99.21528]"
Filoil Flying V Centre,5000,All NCAA (Philippines) college teams and UAAP juniors teams,San Juan City,Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[10.93913, 122.63856]"
Ocean Bank Convocation Center,5000,FIU Panthers men's basketball,Westchester,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.06291, -95.80082]"
Provident Credit Union Event Center,5000,San Jose State Spartans men's basketball,San Jose,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.82388, -71.41198]"
Romema Arena,5000,"Maccabi Haifa, Hapoel Haifa",Haifa,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Romema_Arena.jpg/150px-Romema_Arena.jpg,"[32.78941, 34.997]"
The BritAma Arena,5000,Satria Muda Pertamina,Jakarta,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
